Water System No,Water System Name,Principal County Served,Federal Water System Type CODE,Federal Water System Type,State Water System Type CODE,State Water System Type,Water System Status CODE,System Status,Owner Type CODE,Owner Type,Primary Water Source Type CODE,Primary Water Source Type,Residential Population,Non-Transient Population,Transient Population,Total Population,Number of Agricultural Service Connections (AG),Number of Combined Service Connections (CB),Number of Commercial Service Connections (CM),Number of Institutional Service Connections (IN),Number of Residential Service Connections (RS),Total Number of Service Connections,Fee Code,Fee Code Description,Date of Sanitary Survey visit (SNSV Visit Date),CITY,Treatment Plant Class CODE,Treatment Plant Class,Distribution System Class CODE,Distribution System Class
CA3303003,GALINDO HOUSING FACILITY,RIVERSIDE,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,50,NULL,NULL,50,NULL,38,NULL,NULL,NULL,38,SC,Small Community,8/14/2019,BERMUDA DUNES,NULL,,D1,Distribution Operator Level 1
CA3303007,RODRIGUEZ WATER SYSTEM,RIVERSIDE,NP,Non-Public,SSWS,State Small Water Systems,A,Active,P,Private,,,NULL,NULL,12,12,NULL,4,NULL,NULL,NULL,4,N1,Transient Non-Community Water System,7/16/2014,THERMAL,NULL,,NULL,
CA3303010,THOUSAND TRAILS IDYLLWILD - MHC,RIVERSIDE,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,7,35,42,NULL,257,NULL,NULL,NULL,257,N1,Transient Non-Community Water System,9/20/2017,IDYLLWILD,NULL,,NR,Not Required
CA3303011,TENAJA TRAIL HEAD / CLEVELAND USFS,RIVERSIDE,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,F,Federal Government,GW,Groundwater,NULL,NULL,25,25,NULL,1,NULL,NULL,NULL,1,N1,Transient Non-Community Water System,9/13/2016,WILDOMAR,NULL,,NR,Not Required
CA3303014,ALHATTI CHRISTIAN MOUNTAIN RES,RIVERSIDE,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,40,40,NULL,25,NULL,NULL,NULL,25,N1,Transient Non-Community Water System,8/5/2015,ALANDALE,NULL,,NR,Not Required
CA3303021,ELSINORE HILLS RV PARK,RIVERSIDE,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,46,46,NULL,50,NULL,NULL,NULL,50,N1,Transient Non-Community Water System,8/22/2015,LAKE ELSINORE,NULL,,NR,Not Required
CA3303026,GRANITE CONSTRUCTION COMPANY,RIVERSIDE,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,40,NULL,40,NULL,NULL,5,NULL,NULL,5,SP,Non-Transient Non-Community Water System,3/6/2017,INDIO,T1,Treatment Operator Level 1,D1,Distribution Operator Level 1
CA3303028,SHADY ACRES,RIVERSIDE,NP,Non-Public,SSWS,State Small Water Systems,A,Active,P,Private,GW,Groundwater,NULL,NULL,23,23,NULL,12,NULL,NULL,NULL,12,SC,Small Community,5/2/2013,BERMUDA DUNES,NULL,,NULL,
CA3303033,RANCHO LA JOYA,RIVERSIDE,NP,Non-Public,SSWS,State Small Water Systems,A,Active,P,Private,,,NULL,20,NULL,20,NULL,10,NULL,NULL,NULL,10,XS,State Small Water System,NULL,THERMAL,NULL,,NULL,
CA3303035,THERMAL PARK,RIVERSIDE,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,73,NULL,NULL,73,NULL,NULL,NULL,NULL,22,22,SC,Small Community,5/28/2020,THERMAL,T1,Treatment Operator Level 1,D1,Distribution Operator Level 1
CA3303041,MONTANO RANCH,RIVERSIDE,NP,Non-Public,LSS,Local State Small Systems,A,Active,P,Private,GW,Groundwater,24,NULL,NULL,24,NULL,13,NULL,NULL,NULL,13,XS,State Small Water System,5/19/2000,THERMAL,NULL,,NULL,
CA3303043,JOSE  ACEVES RANCH,RIVERSIDE,NP,Non-Public,SSWS,State Small Water Systems,A,Active,P,Private,,,NULL,20,NULL,20,NULL,14,NULL,NULL,NULL,14,XS,State Small Water System,NULL,THERMAL,NULL,,NULL,
CA3303044,LEON HOUSING,RIVERSIDE,NP,Non-Public,SSWS,State Small Water Systems,A,Active,P,Private,,,NULL,20,NULL,20,NULL,14,NULL,NULL,NULL,14,XS,State Small Water System,NULL,THERMAL,NULL,,NULL,
CA3303047,SANTANA BENITEZ HOUSING,RIVERSIDE,NP,Non-Public,SSWS,State Small Water Systems,A,Active,P,Private,,,NULL,20,NULL,20,NULL,12,NULL,NULL,NULL,12,XS,State Small Water System,NULL,THERMAL,NULL,,NULL,
CA3303048,MANUELA GARCIA WATER,RIVERSIDE,NP,Non-Public,SSWS,State Small Water Systems,A,Active,P,Private,GW,Groundwater,NULL,NULL,24,24,NULL,14,NULL,NULL,NULL,14,SC,Small Community,8/20/2013,THERMAL,NULL,,NULL,
CA3303050,MANUEL FERRO,RIVERSIDE,NP,Non-Public,SSWS,State Small Water Systems,A,Active,P,Private,,,NULL,22,NULL,22,NULL,12,NULL,NULL,NULL,12,XS,State Small Water System,NULL,THERMAL,NULL,,NULL,
CA3303053,VICTOR REGALADO,RIVERSIDE,NP,Non-Public,SSWS,State Small Water Systems,A,Active,P,Private,,,NULL,20,NULL,20,NULL,7,NULL,NULL,NULL,7,XS,State Small Water System,NULL,THERMAL,NULL,,NULL,
CA3303054,SOTO WATER,RIVERSIDE,NP,Non-Public,SSWS,State Small Water Systems,A,Active,P,Private,,,NULL,16,NULL,16,NULL,8,NULL,NULL,NULL,8,XS,State Small Water System,NULL,THERMAL,NULL,,NULL,
CA3303056,ANGEL S RANCH (ARELLANO),RIVERSIDE,NP,Non-Public,SSWS,State Small Water Systems,A,Active,P,Private,,,NULL,22,NULL,22,NULL,13,NULL,NULL,NULL,13,XS,State Small Water System,NULL,THERMAL,NULL,,NULL,
CA3303058,CAMPOS WONG,RIVERSIDE,NP,Non-Public,SSWS,State Small Water Systems,A,Active,P,Private,,,NULL,20,NULL,20,NULL,7,NULL,NULL,NULL,7,XS,State Small Water System,NULL,THERMAL,NULL,,NULL,
CA3303062,BERNABE ACEVES HOUSING,RIVERSIDE,NP,Non-Public,SSWS,State Small Water Systems,A,Active,P,Private,,,NULL,22,NULL,22,NULL,12,NULL,NULL,NULL,12,XS,State Small Water System,NULL,COACHELLA,NULL,,NULL,
CA3303063,MEZA S RANCH,RIVERSIDE,NP,Non-Public,SSWS,State Small Water Systems,A,Active,P,Private,,,NULL,23,NULL,23,NULL,12,NULL,NULL,NULL,12,XS,State Small Water System,NULL,THERMAL,NULL,,NULL,
CA3303064,PALM GAS MART,RIVERSIDE,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,100,100,NULL,NULL,1,NULL,NULL,1,N1,Transient Non-Community Water System,2/13/2019,DESERT HOT SPRINGS,NULL,,NR,Not Required
CA3303068,MCRAE RANCH HOUSING FACILITY,RIVERSIDE,NP,Non-Public,SSWS,State Small Water Systems,A,Active,P,Private,,,NULL,22,NULL,22,NULL,12,NULL,NULL,NULL,12,XS,State Small Water System,NULL,INDIO,NULL,,NULL,
CA3303069,ROGELIO VARGAS CAMP,RIVERSIDE,NP,Non-Public,SSWS,State Small Water Systems,A,Active,P,Private,,,NULL,20,NULL,20,NULL,10,NULL,NULL,NULL,10,XS,State Small Water System,NULL,THERMAL,NULL,,NULL,
CA3303070,RANCHO CISNEROS,RIVERSIDE,NP,Non-Public,SSWS,State Small Water Systems,A,Active,P,Private,,,NULL,18,NULL,18,NULL,9,NULL,NULL,NULL,9,XS,State Small Water System,NULL,THERMAL,NULL,,NULL,
CA3303071,MORONGO GOLF COURSE AT TUKWET CNYN,RIVERSIDE,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,75,110,185,NULL,NULL,6,1,NULL,7,SP,Non-Transient Non-Community Water System,8/17/2016,BEAUMONT,TD,Treatment or distribution operator of any grade,D1,Distribution Operator Level 1
CA3303072,GOOSE CREEK GOLF CLUB,RIVERSIDE,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,26,220,246,NULL,4,NULL,NULL,NULL,4,SP,Non-Transient Non-Community Water System,5/14/2020,MIRA LOMA,T1,Treatment Operator Level 1,D1,Distribution Operator Level 1
CA3303073,DURAN S FARMS,RIVERSIDE,NP,Non-Public,SSWS,State Small Water Systems,A,Active,P,Private,,,NULL,20,NULL,20,NULL,7,NULL,NULL,NULL,7,XS,State Small Water System,NULL,THERMAL,NULL,,NULL,
CA3303075,GUTIERREZ RANCH,RIVERSIDE,NP,Non-Public,SSWS,State Small Water Systems,A,Active,P,Private,,,NULL,18,NULL,18,NULL,6,NULL,NULL,NULL,6,XS,State Small Water System,NULL,THERMAL,NULL,,NULL,
CA3303077,PARADISE VALLEY CAFE,RIVERSIDE,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,50,50,NULL,1,NULL,NULL,NULL,1,N1,Transient Non-Community Water System,10/24/2016,MOUNTAIN CENTER,TD,Treatment or distribution operator of any grade,D1,Distribution Operator Level 1
CA3303078,BARROSO WATER,RIVERSIDE,NP,Non-Public,SSWS,State Small Water Systems,A,Active,P,Private,,,NULL,14,NULL,14,NULL,7,NULL,NULL,NULL,7,XS,State Small Water System,NULL,THERMAL,NULL,,NULL,
CA3303083,DUARTE RANCHO,RIVERSIDE,NP,Non-Public,SSWS,State Small Water Systems,A,Active,P,Private,,,NULL,20,NULL,20,NULL,12,NULL,NULL,NULL,12,XS,State Small Water System,NULL,THERMAL,NULL,,NULL,
CA3303084,TEMECULA/VAIL LAKE KOA,RIVERSIDE,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,300,300,NULL,110,NULL,NULL,NULL,110,N1,Transient Non-Community Water System,8/7/2019,TEMECULA,TD,Treatment or distribution operator of any grade,NR,Not Required
CA3303086,RAMON HERNANDEZ,RIVERSIDE,NP,Non-Public,SSWS,State Small Water Systems,A,Active,P,Private,,,NULL,20,NULL,20,NULL,9,NULL,NULL,NULL,9,XS,State Small Water System,NULL,THERMAL,NULL,,NULL,
CA3303087,SAN JOSE COMMUNITY WATER SYSTEM,RIVERSIDE,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,70,1,NULL,71,NULL,NULL,1,NULL,14,15,NULL,,5/30/2019,THERMAL,T1,Treatment Operator Level 1,D1,Distribution Operator Level 1
CA3303090,MISSION CREEK PRESERVE,RIVERSIDE,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,30,30,NULL,1,NULL,NULL,NULL,1,N1,Transient Non-Community Water System,9/6/2016,DESERT HOT SPRINGS,NULL,,NR,Not Required
CA3303092,MECCA ARCO TRAVEL CENTER,RIVERSIDE,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,47,NULL,47,1,NULL,4,NULL,NULL,5,SP,Non-Transient Non-Community Water System,4/21/2020,MECCA,T1,Treatment Operator Level 1,D1,Distribution Operator Level 1
CA3303095,SERVANDO SANCHEZ,RIVERSIDE,NP,Non-Public,SSWS,State Small Water Systems,A,Active,P,Private,,,NULL,20,NULL,20,NULL,12,NULL,NULL,NULL,12,XS,State Small Water System,NULL,THERMAL,NULL,,NULL,
CA3303097,KOHL RANCH,RIVERSIDE,NP,Non-Public,SSWS,State Small Water Systems,A,Active,P,Private,,,NULL,10,NULL,10,NULL,5,NULL,NULL,NULL,5,XS,State Small Water System,NULL,THERMAL,NULL,,NULL,
CA3303098,FAMILIA MARTINEZ,RIVERSIDE,NP,Non-Public,SSWS,State Small Water Systems,A,Active,P,Private,,,NULL,15,NULL,15,NULL,6,NULL,NULL,NULL,6,XS,State Small Water System,NULL,MECCA,NULL,,NULL,
CA3303100,OASIS GARDENS WATER CO.,RIVERSIDE,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,314,NULL,NULL,314,3,NULL,NULL,NULL,157,160,SC,Small Community,6/13/2018,THERMAL,NULL,,D1,Distribution Operator Level 1
CA3303104,JACK IN THE BOX #5328,RIVERSIDE,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,100,100,NULL,1,NULL,NULL,NULL,1,N1,Transient Non-Community Water System,12/5/2016,DESERT HOT SPRINGS,TD,Treatment or distribution operator of any grade,NR,Not Required
CA3303112,COACHELLA VALLEY FACILITY,RIVERSIDE,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,125,120,245,NULL,NULL,1,NULL,NULL,1,SP,Non-Transient Non-Community Water System,8/31/2016,MECCA,T1,Treatment Operator Level 1,D1,Distribution Operator Level 1
CA3303215,RHEE CAMP,RIVERSIDE,NP,Non-Public,SSWS,State Small Water Systems,A,Active,P,Private,,,NULL,20,NULL,20,NULL,7,NULL,NULL,NULL,7,XS,State Small Water System,NULL,OASIS,NULL,,NULL,
CA3304655,VALENCIA WATER,RIVERSIDE,NP,Non-Public,SSWS,State Small Water Systems,A,Active,P,Private,,,NULL,24,NULL,24,NULL,8,NULL,NULL,NULL,8,XS,State Small Water System,NULL,THERMAL,NULL,,NULL,
CA3310001,COACHELLA VWD: COVE COMMUNITY,RIVERSIDE,C,Community,C,Community,A,Active,L,Local,GW,Groundwater,290000,NULL,NULL,290000,5022,NULL,4677,NULL,96032,105731,C1,Large Water System,3/23/2017,PALM DESERT,T2,Treatment Operator Level 2,D5,Distribution Operator Level 5
CA3310002,BEAUMONT CHERRY VALLEY WD,RIVERSIDE,C,Community,C,Community,A,Active,L,Local,GW,Groundwater,49241,NULL,NULL,49241,395,NULL,697,33,18153,19278,C1,Large Water System,10/21/2020,BEAUMONT,NULL,,D4,Distribution Operator Level 4
CA3310003,BLYTHE - CITY OF,RIVERSIDE,C,Community,C,Community,A,Active,L,Local,GW,Groundwater,9727,NULL,NULL,9727,96,NULL,332,3,2978,3409,C1,Large Water System,12/19/2017,BLYTHE,T2,Treatment Operator Level 2,D4,Distribution Operator Level 4
CA3310004,BOX SPRINGS MUTUAL WC,RIVERSIDE,C,Community,C,Community,A,Active,P,Private,SWP,Surface Water Purchased,2100,NULL,NULL,2100,3,NULL,4,2,620,629,DAVCS,Disadvantaged Small Community Water System,1/22/2020,MORENO VALLEY,T2,Treatment Operator Level 2,D2,Distribution Operator Level 2
CA3310005,DESERT WATER AGENCY,RIVERSIDE,C,Community,C,Community,A,Active,L,Local,SW,Surface Water,89232,NULL,NULL,89232,376,NULL,2904,NULL,19447,22727,DAVCL,Disadvantaged Large Community Water System,12/11/2019,PALM SPRINGS,T2,Treatment Operator Level 2,D5,Distribution Operator Level 5
CA3310006,"BANNING, CITY OF",RIVERSIDE,C,Community,C,Community,A,Active,L,Local,GW,Groundwater,31253,NULL,NULL,31253,178,NULL,534,10,9842,10564,DAVCL,Disadvantaged Large Community Water System,10/18/2016,BANNING,NULL,,D4,Distribution Operator Level 4
CA3310007,COACHELLA WATER AUTHORITY,RIVERSIDE,C,Community,C,Community,A,Active,L,Local,GW,Groundwater,45407,NULL,NULL,45407,281,NULL,390,NULL,7725,8396,C1,Large Water System,12/20/2017,COACHELLA,NULL,,D4,Distribution Operator Level 4
CA3310008,MISSION SPRINGS WD,RIVERSIDE,C,Community,C,Community,A,Active,L,Local,GW,Groundwater,36774,NULL,NULL,36774,202,NULL,466,3,12079,12750,DAVCL,Disadvantaged Large Community Water System,3/27/2019,DESERT HOT SPRINGS,NULL,,D4,Distribution Operator Level 4
CA3310009,EASTERN MUNICIPAL WD,RIVERSIDE,C,Community,C,Community,A,Active,L,Local,SWP,Surface Water Purchased,598763,NULL,NULL,598763,2634,NULL,4777,144,145510,153065,C1,Large Water System,12/15/2015,PERRIS,T5,Treatment Operator Level 5,D5,Distribution Operator Level 5
CA3310012,ELSINORE VALLEY MWD,RIVERSIDE,C,Community,C,Community,A,Active,L,Local,SW,Surface Water,139656,NULL,NULL,139656,998,NULL,1067,NULL,42771,44836,C1,Large Water System,9/9/2020,LAKE ELSINORE,T4,Treatment Operator Level 4,D5,Distribution Operator Level 5
CA3310016,"HEMET, CITY OF",RIVERSIDE,C,Community,C,Community,A,Active,L,Local,GW,Groundwater,29982,NULL,NULL,29982,143,NULL,709,NULL,8473,9325,DAVCL,Disadvantaged Large Community Water System,5/17/2018,HEMET,T2,Treatment Operator Level 2,D3,Distribution Operator Level 3
CA3310017,SOUTH MESA WC,RIVERSIDE,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,9936,NULL,NULL,9936,20,NULL,145,1,2808,2974,C1,Large Water System,5/15/2017,CALIMESA,NULL,,D2,Distribution Operator Level 2
CA3310018,HOME GARDENS COUNTY WD,RIVERSIDE,C,Community,C,Community,A,Active,L,Local,SWP,Surface Water Purchased,3095,NULL,NULL,3095,4,NULL,37,1,793,835,SC,Small Community,8/29/2017,CORONA,NULL,,D2,Distribution Operator Level 2
CA3310019,IDYLLWILD WATER DISTRICT,RIVERSIDE,C,Community,C,Community,A,Active,L,Local,GW,Groundwater,2500,NULL,NULL,2500,NULL,NULL,172,NULL,1477,1649,C1,Large Water System,12/10/2018,IDYLLWILD,T2,Treatment Operator Level 2,D2,Distribution Operator Level 2
CA3310020,INDIO WATER AUTHORITY,RIVERSIDE,C,Community,C,Community,A,Active,L,Local,GW,Groundwater,78425,NULL,NULL,78425,662,NULL,1023,121,21959,23765,C1,Large Water System,5/13/2020,INDIO,T2,Treatment Operator Level 2,D5,Distribution Operator Level 5
CA3310021,JURUPA COMMUNITY SD,RIVERSIDE,C,Community,C,Community,A,Active,L,Local,GW,Groundwater,137305,NULL,NULL,137305,585,NULL,629,116,31871,33201,C1,Large Water System,11/21/2018,JURUPA VALLEY,T4,Treatment Operator Level 4,D5,Distribution Operator Level 5
CA3310022,LAKE HEMET MWD,RIVERSIDE,C,Community,C,Community,A,Active,L,Local,GW,Groundwater,52913,NULL,NULL,52913,126,NULL,430,4,13750,14310,DAVCL,Disadvantaged Large Community Water System,11/7/2017,HEMET,NULL,,D5,Distribution Operator Level 5
CA3310025,"NORCO, CITY OF",RIVERSIDE,C,Community,C,Community,A,Active,L,Local,SWP,Surface Water Purchased,27564,NULL,NULL,27564,68,NULL,558,NULL,6796,7422,C1,Large Water System,2/15/2018,NORCO,T2,Treatment Operator Level 2,D4,Distribution Operator Level 4
CA3310026,NUEVO WATER COMPANY,RIVERSIDE,C,Community,C,Community,A,Active,P,Private,SWP,Surface Water Purchased,6447,NULL,NULL,6447,8,NULL,30,7,1850,1895,C1,Large Water System,3/20/2018,NUEVO,T2,Treatment Operator Level 2,D3,Distribution Operator Level 3
CA3310028,RIVERSIDE CSA #122-MESA VERDE,RIVERSIDE,C,Community,C,Community,A,Active,L,Local,GW,Groundwater,1000,NULL,NULL,1000,NULL,NULL,NULL,NULL,315,315,DAVCS,Disadvantaged Small Community Water System,1/29/2020,BLYTHE,T2,Treatment Operator Level 2,D2,Distribution Operator Level 2
CA3310029,"PERRIS, CITY OF",RIVERSIDE,C,Community,C,Community,A,Active,L,Local,SWP,Surface Water Purchased,7854,NULL,NULL,7854,29,NULL,177,NULL,2390,2596,DAVCL,Disadvantaged Large Community Water System,10/17/2019,PERRIS,NULL,,D2,Distribution Operator Level 2
CA3310030,PINE COVE WATER DISTRICT,RIVERSIDE,C,Community,C,Community,A,Active,L,Local,GW,Groundwater,1250,NULL,NULL,1250,NULL,NULL,NULL,NULL,1107,1107,C1,Large Water System,9/20/2016,IDYLLWILD,T1,Treatment Operator Level 1,D2,Distribution Operator Level 2
CA3310031,"RIVERSIDE, CITY OF",RIVERSIDE,C,Community,C,Community,A,Active,L,Local,GU,Groundwater UDI Surface Water,312214,NULL,NULL,312214,1225,NULL,5136,NULL,59564,65925,C1,Large Water System,11/6/2019,RIVERSIDE,T4,Treatment Operator Level 4,D5,Distribution Operator Level 5
CA3310032,"SAN JACINTO, CITY OF",RIVERSIDE,C,Community,C,Community,A,Active,L,Local,GW,Groundwater,13856,NULL,NULL,13856,211,NULL,807,NULL,3118,4136,DAVCL,Disadvantaged Large Community Water System,9/21/2017,SAN JACINTO,T1,Treatment Operator Level 1,D3,Distribution Operator Level 3
CA3310033,SANTA ANA RIVER WATER COMPANY,RIVERSIDE,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,6613,NULL,NULL,6613,4,NULL,62,NULL,1965,2031,C1,Large Water System,8/17/2020,JURUPA VALLEY,NULL,,D2,Distribution Operator Level 2
CA3310036,WESTERN MWD - MURRIETA DIVISION,RIVERSIDE,C,Community,C,Community,A,Active,L,Local,SWP,Surface Water Purchased,12722,NULL,NULL,12722,141,NULL,311,NULL,2420,2872,C1,Large Water System,6/13/2017,MURRIETA,NULL,,D2,Distribution Operator Level 2
CA3310037,"CORONA, CITY OF",RIVERSIDE,C,Community,C,Community,A,Active,L,Local,SWP,Surface Water Purchased,169868,NULL,NULL,169868,897,NULL,1643,639,40001,43180,C1,Large Water System,8/22/2018,CORONA,T5,Treatment Operator Level 5,D5,Distribution Operator Level 5
CA3310038,RANCHO CALIFORNIA WATER DISTRICT,RIVERSIDE,C,Community,C,Community,A,Active,L,Local,SWP,Surface Water Purchased,144088,NULL,NULL,144088,2037,NULL,1740,NULL,39886,43663,C1,Large Water System,2/12/2019,TEMECULA,T2,Treatment Operator Level 2,D5,Distribution Operator Level 5
CA3310040,FERN VALLEY WD,RIVERSIDE,C,Community,C,Community,A,Active,L,Local,SW,Surface Water,900,NULL,NULL,900,NULL,NULL,8,NULL,1167,1175,C1,Large Water System,12/11/2018,IDYLLWILD,T2,Treatment Operator Level 2,D2,Distribution Operator Level 2
CA3310044,RUBIDOUX COMMUNITY SD,RIVERSIDE,C,Community,C,Community,A,Active,L,Local,GW,Groundwater,32400,NULL,NULL,32400,3,NULL,20,2,6650,6675,C1,Large Water System,6/22/2020,RUBIDOUX,T3,Treatment Operator Level 3,D3,Distribution Operator Level 3
CA3310046,FARM MUTUAL W.C. (THE),RIVERSIDE,C,Community,C,Community,A,Active,P,Private,SWP,Surface Water Purchased,3416,NULL,NULL,3416,45,NULL,NULL,NULL,1220,1265,C1,Large Water System,6/20/2018,WILDOMAR,T1,Treatment Operator Level 1,D2,Distribution Operator Level 2
CA3310047,CABAZON WATER DISTRICT,RIVERSIDE,C,Community,C,Community,A,Active,L,Local,GW,Groundwater,2535,NULL,NULL,2535,11,NULL,54,2,866,933,DAVCS,Disadvantaged Small Community Water System,10/11/2017,CABAZON,NULL,,D2,Distribution Operator Level 2
CA3310048,COACHELLA VWD: I.D. NO. 8,RIVERSIDE,C,Community,C,Community,A,Active,L,Local,GW,Groundwater,4300,NULL,NULL,4300,75,NULL,70,NULL,1441,1586,DAVCL,Disadvantaged Large Community Water System,6/4/2018,PALM DESERT,TD,Treatment or distribution operator of any grade,D3,Distribution Operator Level 3
CA3310049,WESTERN MWD,RIVERSIDE,C,Community,C,Community,A,Active,L,Local,SWP,Surface Water Purchased,85139,NULL,NULL,85139,606,NULL,778,6,19747,21137,C1,Large Water System,12/5/2018,RIVERSIDE,NULL,,D5,Distribution Operator Level 5
CA3310051,MYOMA DUNES MUTUAL WATER COMPANY,RIVERSIDE,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,8948,NULL,NULL,8948,60,NULL,197,NULL,2285,2542,C1,Large Water System,11/20/2019,BERMUDA DUNES,NULL,,D2,Distribution Operator Level 2
CA3310052,LAKE HEMET-GARNER VALLEY,RIVERSIDE,C,Community,C,Community,A,Active,L,Local,GW,Groundwater,709,NULL,NULL,709,NULL,NULL,NULL,NULL,307,307,SC,Small Community,11/8/2017,HEMET,NULL,,D1,Distribution Operator Level 1
CA3310074,TEMESCAL VALLEY WATER DISTRICT,RIVERSIDE,C,Community,C,Community,A,Active,L,Local,SWP,Surface Water Purchased,18146,NULL,NULL,18146,68,NULL,95,NULL,5499,5662,C1,Large Water System,11/15/2017,TEMESCAL VALLEY,NULL,,D3,Distribution Operator Level 3
CA3310075,WESTERN MWD (ARLINGTON),RIVERSIDE,C,Community,C,Community,A,Active,L,Local,GW,Groundwater,NULL,NULL,NULL,27160,NULL,NULL,NULL,NULL,NULL,NULL,WH,Wholesaler,10/10/2019,RIVERSIDE,T4,Treatment Operator Level 4,D4,Distribution Operator Level 4
CA3310076,WESTERN MWD (ID A - RAINBOW),RIVERSIDE,C,Community,C,Community,A,Active,L,Local,SWP,Surface Water Purchased,100,NULL,NULL,100,2,NULL,4,2,32,40,SC,Small Community,12/3/2018,TEMECULA,NULL,,D1,Distribution Operator Level 1
CA3310078,WEST PALM SPRINGS VILLAGE,RIVERSIDE,C,Community,C,Community,A,Active,L,Local,GW,Groundwater,471,NULL,NULL,471,NULL,NULL,6,NULL,247,253,DAVCS,Disadvantaged Small Community Water System,10/28/2020,DESERT HOT SPRINGS,T2,Treatment Operator Level 2,D1,Distribution Operator Level 1
CA3310080,LAKE HEMET MWD-CAMP GROUND,RIVERSIDE,C,Community,C,Community,A,Active,L,Local,GW,Groundwater,300,NULL,300,600,NULL,NULL,NULL,NULL,287,287,SC,Small Community,11/8/2017,HEMET,NULL,,D1,Distribution Operator Level 1
CA3310081,PALM SPRINGS CREST,RIVERSIDE,C,Community,C,Community,A,Active,L,Local,GW,Groundwater,355,NULL,NULL,355,1,NULL,2,NULL,168,171,DAVCS,Disadvantaged Small Community Water System,10/28/2020,DESERT HOT SPRINGS,TD,Treatment or distribution operator of any grade,D1,Distribution Operator Level 1
CA3310082,NORTH PERRIS WATER SYSTEM,RIVERSIDE,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,4500,NULL,NULL,4500,26,NULL,NULL,NULL,1363,1389,C1,Large Water System,9/23/2020,PERRIS,NULL,,D2,Distribution Operator Level 2
CA3310083,CHINO BASIN DESALTER AUTH. - DESALTER 2,RIVERSIDE,C,Community,C,Community,A,Active,L,Local,GW,Groundwater,NULL,NULL,NULL,87846,NULL,NULL,NULL,NULL,NULL,NULL,WH,Wholesaler,9/16/2016,JURUPA VALLEY,T4,Treatment Operator Level 4,D4,Distribution Operator Level 4
CA3310084,DESERT SAGE YOUTH WELLNESS CENTER,RIVERSIDE,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,F,Federal Government,GW,Groundwater,1,102,1,104,NULL,NULL,2,NULL,NULL,2,SP,Non-Transient Non-Community Water System,4/27/2017,HEMET,TD,Treatment or distribution operator of any grade,D1,Distribution Operator Level 1
